HBase Shell; enter 'help<RETURN>' for list of supported commands.
Type "exit<RETURN>" to leave the HBase Shell
Version 1.2.6, rUnknown, Mon May 29 02:25:32 CDT 2017

count 'usertable', INTERVAL=>1000000
Current count: 1000000, row: comet-19-21.ibnet10:ang_30_vibration:1549328843417
Current count: 2000000, row: comet-19-21.ibnet10:ang_90_Flow:1537329643417
Current count: 3000000, row: comet-19-21.ibnet10:cent_9_Flow:1558226382768
Current count: 4000000, row: comet-19-21.ibnet10:cor_4_Flow:1546142332768
Current count: 5000000, row: comet-19-21.ibnet10:mid_1125_Humidity:1533526992768
Current count: 6000000, row: comet-19-21.ibnet10:side_8_Flow:1552825603417
Current count: 7000000, row: comet-19-21.ibnet11:ang_30_Flow:1541117843443
Current count: 8000000, row: comet-19-21.ibnet11:ang_45_vibration:1560184143443
Current count: 9000000, row: comet-19-21.ibnet11:bef_1195_Flow:1547341982731
Current count: 10000000, row: comet-19-21.ibnet11:cor_1_Flow:1533280272731
Current count: 11000000, row: comet-19-21.ibnet11:cor_5_Flow:1553275183443
Current count: 12000000, row: comet-19-21.ibnet11:side_7_Humidity:1542147582731
Current count: 13000000, row: comet-19-21.ibnet12:aft_1120_Flow:1530950933439
Current count: 14000000, row: comet-19-21.ibnet12:ang_30_vibration:1551574882746
Current count: 15000000, row: comet-19-21.ibnet12:ang_90_Flow:1538850283439
Current count: 16000000, row: comet-19-21.ibnet12:cent_9_Flow:1559397542746
Current count: 17000000, row: comet-19-21.ibnet12:cor_4_Flow:1547167902746
Current count: 18000000, row: comet-19-21.ibnet12:mid_1125_Humidity:1533941383439
Current count: 19000000, row: comet-19-21.ibnet12:side_8_Flow:1553623562746
Current count: 20000000, row: comet-19-21.ibnet13:ang_30_Flow:1541089342720
Current count: 21000000, row: comet-19-21.ibnet13:ang_45_vibration:1560224572720
Current count: 22000000, row: comet-19-21.ibnet13:bef_1195_Flow:1548521752720
Current count: 23000000, row: comet-19-21.ibnet13:cor_1_Flow:1537040712720
Current count: 24000000, row: comet-19-21.ibnet13:cor_5_Flow:1557765233471
Current count: 25000000, row: comet-19-21.ibnet13:side_7_Humidity:1545153893471
Current count: 26000000, row: comet-19-21.ibnet14:aft_1120_Flow:1531766062724
Current count: 27000000, row: comet-19-21.ibnet14:ang_30_vibration:1551444862724
Current count: 28000000, row: comet-19-21.ibnet14:ang_90_Flow:1539727672724
Current count: 29000000, row: comet-19-21.ibnet14:cent_9_Flow:1559089602724
Current count: 30000000, row: comet-19-21.ibnet14:cor_4_Flow:1546811472724
Current count: 31000000, row: comet-19-21.ibnet14:mid_1125_Humidity:1534958912724
Current count: 32000000, row: comet-19-21.ibnet14:side_8_Flow:1554435732724
Current count: 33000000, row: comet-19-21.ibnet15:ang_30_Flow:1541526852744
Current count: 34000000, row: comet-19-21.ibnet15:ang_45_vibration:1561884483483
Current count: 35000000, row: comet-19-21.ibnet15:bef_1195_Flow:1547699832744
Current count: 36000000, row: comet-19-21.ibnet15:cor_1_Flow:1535285463483
Current count: 37000000, row: comet-19-21.ibnet15:cor_5_Flow:1555189753483
Current count: 38000000, row: comet-19-21.ibnet15:side_7_Humidity:1543579633483
Current count: 39000000, row: comet-19-21.ibnet16:aft_1120_Flow:1532642202728
Current count: 40000000, row: comet-19-21.ibnet16:ang_30_vibration:1553528792728
Current count: 41000000, row: comet-19-21.ibnet16:ang_90_Flow:1540533302728
Current count: 42000000, row: comet-19-21.ibnet16:cent_9_Flow:1559596223600
Current count: 43000000, row: comet-19-21.ibnet16:cor_4_Flow:1547411793600
Current count: 44000000, row: comet-19-21.ibnet16:mid_1125_Humidity:1534537553600
Current count: 45000000, row: comet-19-21.ibnet16:side_8_Flow:1555074862728
Current count: 46000000, row: comet-19-21.ibnet17:ang_30_Flow:1542814723599
Current count: 47000000, row: comet-19-21.ibnet17:ang_60_Flow:1530274023599
Current count: 48000000, row: comet-19-21.ibnet17:bef_1195_Flow:1549902512751
Current count: 49000000, row: comet-19-21.ibnet17:cor_1_Flow:1537573572751
Current count: 50000000, row: comet-19-21.ibnet17:cor_5_Flow:1557607622751
Current count: 51000000, row: comet-19-21.ibnet17:side_7_Humidity:1545989553599
Current count: 52000000, row: comet-19-21.ibnet18:aft_1120_Flow:1533483562756
Current count: 53000000, row: comet-19-21.ibnet18:ang_30_vibration:1553287203702
Current count: 54000000, row: comet-19-21.ibnet18:ang_90_Flow:1540512252756
Current count: 55000000, row: comet-19-21.ibnet18:cent_9_Flow:1560444813702
Current count: 56000000, row: comet-19-21.ibnet18:cor_4_Flow:1547214003702
Current count: 57000000, row: comet-19-21.ibnet18:mid_1125_Humidity:1535304083702
Current count: 58000000, row: comet-19-21.ibnet18:side_8_Flow:1556335093702
Current count: 59000000, row: comet-19-21.ibnet19:ang_30_Flow:1544288842740
Current count: 60000000, row: comet-19-21.ibnet19:ang_60_Flow:1532228603653
