HBase Shell; enter 'help<RETURN>' for list of supported commands.
Type "exit<RETURN>" to leave the HBase Shell
Version 1.2.6, rUnknown, Mon May 29 02:25:32 CDT 2017

count 'usertable', INTERVAL=>1000000
Current count: 1000000, row: comet-19-21.ibnet10:ang_90_Flow:1533819573388
Current count: 2000000, row: comet-19-21.ibnet10:cor_4_Flow:1537700203151
Current count: 3000000, row: comet-19-21.ibnet10:side_8_Flow:1541322593388
Current count: 4000000, row: comet-19-21.ibnet11:ang_45_vibration:1544470843419
Current count: 5000000, row: comet-19-21.ibnet11:cor_1_Flow:1532418463419
Current count: 6000000, row: comet-19-21.ibnet11:side_7_Humidity:1536865203172
Current count: 7000000, row: comet-19-21.ibnet12:ang_30_vibration:1540482833419
Current count: 8000000, row: comet-19-21.ibnet12:cent_9_Flow:1544451723143
Current count: 9000000, row: comet-19-21.ibnet12:mid_1125_Humidity:1532695893419
Current count: 10000000, row: comet-19-21.ibnet13:ang_30_Flow:1536069073185
Current count: 11000000, row: comet-19-21.ibnet13:bef_1195_Flow:1539198753185
Current count: 12000000, row: comet-19-21.ibnet13:cor_5_Flow:1543401043464
Current count: 13000000, row: comet-19-21.ibnet14:aft_1120_Flow:1531112533564
Current count: 14000000, row: comet-19-21.ibnet14:ang_90_Flow:1534433043564
Current count: 15000000, row: comet-19-21.ibnet14:cor_4_Flow:1539072573564
Current count: 16000000, row: comet-19-21.ibnet14:side_8_Flow:1542676323564
Current count: 17000000, row: comet-19-21.ibnet15:ang_60_Flow:1530502703164
Current count: 18000000, row: comet-19-21.ibnet15:cor_1_Flow:1534956223514
Current count: 19000000, row: comet-19-21.ibnet15:side_7_Humidity:1538860213164
Current count: 20000000, row: comet-19-21.ibnet16:ang_30_vibration:1542095413520
Current count: 21000000, row: comet-19-21.ibnet16:cent_9_Flow:1544380983191
Current count: 22000000, row: comet-19-21.ibnet16:mid_1125_Humidity:1532777463191
Current count: 23000000, row: comet-19-21.ibnet17:ang_30_Flow:1537116843638
Current count: 24000000, row: comet-19-21.ibnet17:bef_1195_Flow:1540819453172
Current count: 25000000, row: comet-19-21.ibnet17:cor_5_Flow:1544558963638
Current count: 26000000, row: comet-19-21.ibnet18:aft_1120_Flow:1531935893592
Current count: 27000000, row: comet-19-21.ibnet18:ang_90_Flow:1535931303181
